,0,1,2
233,"'SANTO DOMINGO, 109105 (234)'",4.009755036569437,-74.34253595820635
234,"'TORCA RURAL I, 108101 (235)'",4.8164332269938654,-74.01824296932516
235,"'GUAYMARAL, 107101 (236)'",4.825428307790549,-74.0757708795232
236,"'BAVARIA, 006504 (237)'",4.638566384615384,-74.13928965384615
237,"'CHARLES DE GAULLE, 004574 (238)'",4.606899333333333,-74.20122716666667
238,"'CAPITOLIO, 109112 (239)'",4.0355613476980725,-74.3460258003212
239,"'LAGUNITAS, 109113 (240)'",3.965634636245787,-74.29723878376977
240,"'CHORRERAS, 109107 (241)'",3.9918248724565752,-74.29151226137303
241,"'LAS VEGAS, 109103 (242)'",4.02128706684196,-74.2666068353169
242,"'EL MOCHUELO III, 104128 (243)'",4.518078266405485,-74.15056864152791
243,"'EL TOLDO, 109101 (244)'",4.06029120090101,-74.29974602398637
244,"'SAN ANTONIO, 109102 (245)'",4.097426099618873,-74.3103045354186
245,"'CONCEPCION NORTE, 007304 (246)'",4.657121545454546,-74.06327272727273
246,"'EL PORVENIR DE LOS SOCHES, 102110 (247)'",4.489799737885463,-74.09195257929514
247,"'ACEVEDO TEJADA, 005107 (248)'",4.631113045454545,-74.08134009090908
248,"'EL MOCHUELO ORIENTAL, 002522 (249)'",4.529051536630036,-74.12507121245422
249,"'CHUCUA DE LA VACA III, 004619 (250)'",4.629733660714286,-74.16323379464286
250,"'CANAVERALEJO RURAL, 205308 (251)'",4.6437133636363646,-74.19950704545454
251,"'EL PORTAL DEL BRASIL, 004591 (252)'",4.630239223880597,-74.18583737313433
252,"'CIUDADELA EL RECREO II, 004638 (253)'",4.63447046875,-74.20050346874999
253,"'LA INDEPENDENCIA, 004641 (254)'",4.620759442424243,-74.195812
254,"'MARLY, 008212 (255)'",4.63595603125,-74.06457671875
255,"'SIERRA MORENA, 002440 (256)'",4.57690862369338,-74.16946131184669
256,"'LA ARBOLEDA RURAL, 101309 (257)'",4.532620294117646,-74.07591515686275
257,"'EL CORZO RURAL, 105314 (258)'",4.646669551724138,-74.19786449425288
258,"'VILLA MARIA, 009209 (259)'",4.738197115384615,-74.1026151923077
259,"'SANTA HELENA, 009131 (260)'",4.732158025,-74.06246348
260,"'LA URIBE, 008525 (261)'",4.7532388404255315,-74.04044355319148
261,"'ATENAS, 009119 (262)'",4.7313737343749995,-74.07057330468749
262,"'VICTORIA NORTE, 009104 (263)'",4.732200198113207,-74.05448639622641
263,"'LAS MARGARITAS, 102113 (264)'",4.373995990616075,-74.19732210934313
264,"'MOCHUELO ALTO, 002596 (265)'",4.500489913470994,-74.13366507964601
265,"'EL MOCHUELO II, 104129 (266)'",4.517603797968397,-74.14074886681716
266,"'SAN JOSE, 109111 (267)'",3.8169465999053034,-74.38840377687028
267,"'NUEVA GRANADA, 109116 (268)'",3.881523038050609,-74.35010166447985
268,"'CONCEPCION, 109110 (269)'",3.9180283925831203,-74.34412898286445
269,"'CASA BLANCA SUR, 004576 (270)'",4.6188637213114765,-74.17134816393443
270,"'ALTOS DE SUBA, 009260 (271)'",4.733323756097561,-74.07533436585366
271,"'LA SOLEDAD NORTE, 005615 (272)'",4.697144195121951,-74.10267485365854
272,"'SAN MARTIN, 008109 (273)'",4.617358045454546,-74.06734631818182
273,"'SAN JOSE SUR, 001401 (274)'",4.577379207207206,-74.10402575675676
274,"'NARINO SUR, 001207 (275)'",4.579796610687024,-74.08973132061068
275,"'QUIBA RURAL, 204128 (276)'",4.533617308823529,-74.14349198529412
276,"'SAN VICTORINO, 006105 (277)'",4.606655666666667,-74.08118
277,"'SAN PABLO BOSA, 004524 (278)'",4.606498000000001,-74.19159742253521
278,"'LA GAITANA, 009216 (279)'",4.741487074626866,-74.1095559477612
279,"'LA CABANA, 005508 (280)'",4.674146115384615,-74.10242892307693
280,"'EL BOSQUE, 002609 (281)'",4.505085274509804,-74.10169282352942
281,"'LUSITANIA, 006509 (282)'",4.63471834920635,-74.12365666666666
282,"'PATIO BONITO, 004554 (283)'",4.639178933333333,-74.16232206666666
283,"'BOSQUES DE SAN JORGE, 009241 (284)'",4.746911333333334,-74.08597882608694
284,"'SERRANIAS, 002542 (285)'",4.498915021739131,-74.11411602173912
285,"'VILLA MARIA I, 009267 (286)'",4.741921130434783,-74.10162173913044
286,"'ANTONIO JOSE DE SUCRE, 002571 (287)'",4.492658476190476,-74.11428551190477
287,"'RICAURTE, 004101 (288)'",4.607856285714286,-74.09393435714286
288,"'SAN RAFAEL, 004302 (289)'",4.620959166666666,-74.112352
289,"'LA ESTANCIA, 002418 (290)'",4.595079366197184,-74.17396688732394
290,"'LA ESPERANZA, 208107 (291)'",4.664706395833334,-74.02442247916666
291,"'INGLES, 002307 (292)'",4.585369912280703,-74.12235428070176
292,"'LA HUERTA, 002636 (293)'",4.48436935483871,-74.10201390322581
293,"'REMANSO, 004402 (294)'",4.604421631147541,-74.11473854918032
294,"'EL MIRADOR DE LA ESTANCIA, 002447 (295)'",4.584871955555556,-74.17874833333332
295,"'PARAMO II, 108108 (296)'",4.6627201578947375,-74.01859111184211
296,"'LA LIBERIA, 008517 (297)'",4.7362005789473685,-74.03610889473684
297,"'TIBAQUE II, 201309 (298)'",4.509194075,-74.08435949999999
298,"'EL MADRIGAL, 005635 (299)'",4.707889904109589,-74.1145520958904
299,"'SANTA BARBARA ORIENTAL, 008413 (300)'",4.698497236363637,-74.03143987272728
300,"'EL DANUBIO AZUL, 004588 (301)'",4.6209635,-74.18224602173913
301,"'OSPINA PEREZ SUR, 004405 (302)'",4.5955786,-74.13261412
302,"'DESARROLLO BRAZUELOS I, 002556 (303)'",4.497498266666667,-74.11789164666666
303,"'OLAYA, 002201 (304)'",4.581784346153846,-74.10541084615384
304,"'TORCA II, 008541 (305)'",4.811943902040817,-74.02659699183673
305,"'TORCA RURAL II, 108110 (306)'",4.797588911492734,-74.01472484808454
306,"'ARBORIZADORA ALTA, 002569 (307)'",4.563632610983982,-74.16508677803203
307,"'EL TINTAL IV, 006534 (308)'",4.65636343478261,-74.14276960869566
308,"'PUERTA DEL SOL, 009203 (309)'",4.744362923076923,-74.10174596153846
309,"'CAMPIN OCCIDENTAL, 005105 (310)'",4.648206500000001,-74.07996383333334
310,"'ROMA, 004534 (311)'",4.611304445783132,-74.17356956626507
311,"'CONEJERA, 009142 (312)'",4.8033266875,-74.0632474375
312,"'EL REFUGIO I, 201105 (313)'",4.668506,-74.0417325
313,"'GUADUAL FONTIBON, 006407 (314)'",4.66772052631579,-74.14529835087718
314,"'JUAN XXIII, 007402 (315)'",4.66699525,-74.06290204166667
315,"'EL RETIRO, 008310 (316)'",4.6660787692307695,-74.05099765384615
316,"'ACACIAS USAQUEN, 008510 (317)'",4.7220746818181825,-74.0310935
317,"'TTES DE COLOMBIA, 009223 (318)'",4.731190466666668,-74.09231558666666
318,"'RINCON DEL CHICO, 008411 (319)'",4.6856016470588235,-74.04466422549021
319,"'ATAHUALPA, 006416 (320)'",4.688711400000001,-74.1464738
320,"'TUNAL ALTO, 109109 (321)'",3.9347911212839977,-74.30876075426944
321,"'EL LISTON, 006106 (322)'",4.612536530017152,-74.08379404802743
322,"'BARAJAS NORTE, 107109 (323)'",4.78816654088785,-74.08113325934579
323,"'GORGONZOLA, 004207 (324)'",4.6224173720930235,-74.10424416279069
324,"'CENTRO USME RURAL I, 102602 (325)'",4.4762473518518515,-74.12205003703704
325,"'SANTA BARBARA OCCIDENTAL, 008417 (326)'",4.701032801587301,-74.0481488968254
326,"'MODELIA, 006311 (327)'",4.667799545454546,-74.11553918181818
327,"'DUITAMA, 002550 (328)'",4.527200037735849,-74.11368828301886
328,"'ANTONIA SANTOS, 004570 (329)'",4.612084786324786,-74.18781393162394
329,"'QUIRIGUA II, 005684 (330)'",4.709678346153846,-74.10516946153847
330,"'SOTAVENTO, 002533 (331)'",4.544822461538462,-74.13928451648353
331,"'BOITA, 004516 (332)'",4.602955,-74.15481791836736
332,"'PRIMAVERA OCCIDENTAL, 004205 (333)'",4.613332676470589,-74.10790385294119
